source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,N16384/verify_batch,,50,N16384/verify_batch/50,N16384_verify_batch/50,10,7301303239.9,7292563677.4,7311000366.8775
aws,N16384/verify_batch_encval,batch,1,N16384/verify_batch_encval/batch/1,N16384_verify_batch_encval/batch/1,10,379483.4204156172,378473.1669408061,380575.4258277707
aws,N16384/verify_batch_encval,batch,10,N16384/verify_batch_encval/batch/10,N16384_verify_batch_encval/batch/10,10,3481077.8304029303,3468636.9461080586,3493627.519294871
aws,N16384/verify_batch_encval,batch,100,N16384/verify_batch_encval/batch/100,N16384_verify_batch_encval/batch/100,10,28397073.56634615,28322600.459615387,28488185.871153843
aws,N16384/verify_batch_encval,batch,50,N16384/verify_batch_encval/batch/50,N16384_verify_batch_encval/batch/50,10,14691848.76766169,14647442.660696518,14740128.27676617
aws,N16384/verify_batch_encval,individual,1,N16384/verify_batch_encval/individual/1,N16384_verify_batch_encval/individual/1,10,900052.7955495818,896122.0390098565,904373.266518817
aws,N16384/verify_batch_encval,individual,10,N16384/verify_batch_encval/individual/10,N16384_verify_batch_encval/individual/10,10,9011141.230930928,8975244.109406905,9048327.209489489
aws,N16384/verify_batch_encval,individual,100,N16384/verify_batch_encval/individual/100,N16384_verify_batch_encval/individual/100,10,90417207.70294118,89973369.19330883,90828892.85610294
aws,N16384/verify_batch_encval,individual,50,N16384/verify_batch_encval/individual/50,N16384_verify_batch_encval/individual/50,10,45825040.0621212,45418248.89242424,46205178.01261364
aws,N16384/voter,registration,,N16384/voter/registration,N16384_voter/registration,200,118413.75185500339,118024.88296069618,118830.6738496316
aws,N256/ballot,create,,N256/ballot/create,N256_ballot/create,50,13201325.46970409,13157918.714833723,13243532.515702212
aws,N256/ballot,verify,,N256/ballot/verify,N256_ballot/verify,50,4266231.315623284,4256457.089929264,4276408.259339759
aws,N256/dkg,2of3,,N256/dkg/2of3,N256_dkg/2of3,100,1060490.970428387,1056872.6207318902,1064085.4204946058
aws,N256/tally,full_pipeline,,N256/tally/full_pipeline,N256_tally/full_pipeline,10,200298069.92580643,199882502.80499998,200727337.72709677
aws,N256/tally,serial_decrypt_per_tallier,,N256/tally/serial_decrypt_per_tallier,N256_tally/serial_decrypt_per_tallier,10,29359632.291666668,29231863.624105386,29480950.435306378
aws,N256/verify_batch,,1,N256/verify_batch/1,N256_verify_batch/1,10,4321189.598575498,4310721.168091169,4331651.682200854
aws,N256/verify_batch,,10,N256/verify_batch/10,N256_verify_batch/10,10,43282569.44647888,43144148.255492955,43451062.79570422
aws,N256/verify_batch,,100,N256/verify_batch/100,N256_verify_batch/100,10,439382322.9142858,436781155.07678574,442119280.4278571
aws,N256/verify_batch,,50,N256/verify_batch/50,N256_verify_batch/50,10,216086154.6,215673618.71446428,216618468.01196432
aws,N256/verify_batch_encval,batch,1,N256/verify_batch_encval/batch/1,N256_verify_batch_encval/batch/1,10,382233.4460397317,381200.53279153764,383361.00059468526
aws,N256/verify_batch_encval,batch,10,N256/verify_batch_encval/batch/10,N256_verify_batch_encval/batch/10,10,3228226.759505908,3220021.359887218,3236635.770545113
aws,N256/verify_batch_encval,batch,100,N256/verify_batch_encval/batch/100,N256_verify_batch_encval/batch/100,10,27444118.44545455,27370170.166363638,27515518.40529545
aws,N256/verify_batch_encval,batch,50,N256/verify_batch_encval/batch/50,N256_verify_batch_encval/batch/50,10,13799249.330733946,13764352.288073394,13837337.038119262
aws,N256/verify_batch_encval,individual,1,N256/verify_batch_encval/individual/1,N256_verify_batch_encval/individual/1,10,933832.6486246943,929516.2206341686,938388.6560062652
aws,N256/verify_batch_encval,individual,10,N256/verify_batch_encval/individual/10,N256_verify_batch_encval/individual/10,10,9253157.817559524,9198627.987388393,9317092.021934526
aws,N256/verify_batch_encval,individual,100,N256/verify_batch_encval/individual/100,N256_verify_batch_encval/individual/100,10,91737194.47647057,91408556.93544115,92047625.33514707
aws,N256/verify_batch_encval,individual,50,N256/verify_batch_encval/individual/50,N256_verify_batch_encval/individual/50,10,46110232.060294114,45924595.76625001,46302725.82198529
aws,N256/voter,registration,,N256/voter/registration,N256_voter/registration,200,116196.08882078152,115807.22769591169,116600.49482741371
aws,N4096/ballot,create,,N4096/ballot/create,N4096_ballot/create,50,156686125.7733333,156291471.51449996,157094059.49583334
aws,N4096/ballot,verify,,N4096/ballot/verify,N4096_ballot/verify,50,37345489.97090908,37256599.37372728,37436754.58027272
aws,N4096/dkg,2of3,,N4096/dkg/2of3,N4096_dkg/2of3,100,1060447.6647260373,1057435.9003920776,1063452.3789086738
aws,N4096/tally,full_pipeline,,N4096/tally/full_pipeline,N4096_tally/full_pipeline,10,4334456711.45,4323550541.6,4349339356.7
aws,N4096/tally,serial_decrypt_per_tallier,,N4096/tally/serial_decrypt_per_tallier,N4096_tally/serial_decrypt_per_tallier,10,474358017.8769232,472718690.33076924,476072172.1592308
aws,N4096/verify_batch,,1,N4096/verify_batch/1,N4096_verify_batch/1,10,37142297.82592593,37074054.864598766,37221153.51407407
aws,N4096/verify_batch,,10,N4096/verify_batch/10,N4096_verify_batch/10,10,374410857.76666665,373324094.0719445,375512648.0458334
aws,N4096/verify_batch,,100,N4096/verify_batch/100,N4096_verify_batch/100,10,3731732166.3,3721419283.7,3742843361.5
aws,N4096/verify_batch,,50,N4096/verify_batch/50,N4096_verify_batch/50,10,1861339794.15,1858499059.65,1864256229.7512498
aws,N4096/verify_batch_encval,batch,1,N4096/verify_batch_encval/batch/1,N4096_verify_batch_encval/batch/1,10,380577.13782597793,379901.6173501755,381270.99078516796
aws,N4096/verify_batch_encval,batch,10,N4096/verify_batch_encval/batch/10,N4096_verify_batch_encval/batch/10,10,3255927.5438043475,3249778.7000788045,3263449.4362554345
aws,N4096/verify_batch_encval,batch,100,N4096/verify_batch_encval/batch/100,N4096_verify_batch_encval/batch/100,10,27109435.16339286,27033148.483928572,27206430.47580356
aws,N4096/verify_batch_encval,batch,50,N4096/verify_batch_encval/batch/50,N4096_verify_batch_encval/batch/50,10,13883441.529439252,13848886.997792056,13917995.659813086
aws,N4096/verify_batch_encval,individual,1,N4096/verify_batch_encval/individual/1,N4096_verify_batch_encval/individual/1,10,898740.5240533173,896560.3827499242,900887.7940449864
aws,N4096/verify_batch_encval,individual,10,N4096/verify_batch_encval/individual/10,N4096_verify_batch_encval/individual/10,10,8996978.192238806,8960485.184753733,9038708.448970148
aws,N4096/verify_batch_encval,individual,100,N4096/verify_batch_encval/individual/100,N4096_verify_batch_encval/individual/100,10,88981043.7147059,88689472.36367646,89267078.08911766
aws,N4096/verify_batch_encval,individual,50,N4096/verify_batch_encval/individual/50,N4096_verify_batch_encval/individual/50,10,44809417.32835821,44660295.37462687,44971922.27164178
aws,N4096/voter,registration,,N4096/voter/registration,N4096_voter/registration,200,118031.81799818458,117571.70633521609,118506.09953583758
aws,N64/ballot,create,,N64/ballot/create,N64_ballot/create,50,5094999.479922042,5082490.713665814,5108048.033882995
aws,N64/ballot,verify,,N64/ballot/verify,N64_ballot/verify,50,2160089.1109526767,2153712.208574616,2166775.60729563
aws,N64/dkg,2of3,,N64/dkg/2of3,N64_dkg/2of3,100,1064504.1973639247,1060854.1766966793,1068155.6306946154
aws,N64/tally,full_pipeline,,N64/tally/full_pipeline,N64_tally/full_pipeline,10,50962203.89579832,50782644.51680672,51194021.42943278
aws,N64/tally,serial_decrypt_per_tallier,,N64/tally/serial_decrypt_per_tallier,N64_tally/serial_decrypt_per_tallier,10,7373333.528395062,7341584.87453395,7409646.568203704
aws,N64/verify_batch,,1,N64/verify_batch/1,N64_verify_batch/1,10,2154948.2573099416,2145375.4475548244,2165789.3665204677
aws,N64/verify_batch,,10,N64/verify_batch/10,N64_verify_batch/10,10,21767564.846323527,21691998.087113973,21836867.855147056
aws,N64/verify_batch,,50,N64/verify_batch/50,N64_verify_batch/50,10,109496243.87857144,108987103.05276786,110096748.24455357
aws,N64/verify_batch_encval,batch,1,N64/verify_batch_encval/batch/1,N64_verify_batch_encval/batch/1,10,408851.5020302599,406698.6039470451,411156.27645157115
aws,N64/verify_batch_encval,batch,10,N64/verify_batch_encval/batch/10,N64_verify_batch_encval/batch/10,10,3215800.811752137,3200064.2342414535,3235456.4856490386
aws,N64/verify_batch_encval,batch,50,N64/verify_batch_encval/batch/50,N64_verify_batch_encval/batch/50,10,13679586.969406392,13655805.073972603,13700785.452705478
aws,N64/verify_batch_encval,individual,1,N64/verify_batch_encval/individual/1,N64_verify_batch_encval/individual/1,10,889361.6001179593,885383.1490025066,893796.8787046594
aws,N64/verify_batch_encval,individual,10,N64/verify_batch_encval/individual/10,N64_verify_batch_encval/individual/10,10,8929137.781039756,8895785.270527523,8965506.762461776
aws,N64/verify_batch_encval,individual,50,N64/verify_batch_encval/individual/50,N64_verify_batch_encval/individual/50,10,44696543.22941176,44499373.66764705,44943808.63077206
aws,N64/voter,registration,,N64/voter/registration,N64_voter/registration,200,117049.92557776527,116726.51102653453,117382.01734143934
aws,_size_report_noop,,,_size_report_noop,_size_report_noop,2,0.13837971352040768,0.13779181614518166,0.1389676108956337
aws,actual_proof_sizes,noop,,actual_proof_sizes/noop,actual_proof_sizes/noop,2,0.1397403134033084,0.13933643512427807,0.14014419168233871
aws,batch_verify_dleq,batch,1,batch_verify_dleq/batch/1,batch_verify_dleq/batch/1,50,80537.91380556392,80055.84385134005,81031.18798725972
aws,batch_verify_dleq,batch,10,batch_verify_dleq/batch/10,batch_verify_dleq/batch/10,50,631192.51930123,629228.7414889254,633157.3532536853
aws,batch_verify_dleq,batch,100,batch_verify_dleq/batch/100,batch_verify_dleq/batch/100,50,5249158.838079946,5229057.428352292,5274246.058955468
aws,batch_verify_dleq,batch,25,batch_verify_dleq/batch/25,batch_verify_dleq/batch/25,50,1550072.6535038818,1544683.0468764876,1555426.4161031856
aws,batch_verify_dleq,batch,50,batch_verify_dleq/batch/50,batch_verify_dleq/batch/50,50,2811835.8202205286,2803930.8905788865,2819746.572711243
aws,batch_verify_dleq,individual,1,batch_verify_dleq/individual/1,batch_verify_dleq/individual/1,50,145228.9527739651,144448.47715907948,146055.48193857432
aws,batch_verify_dleq,individual,10,batch_verify_dleq/individual/10,batch_verify_dleq/individual/10,50,1442077.8603630457,1433913.8962545558,1451043.1744395006
aws,batch_verify_dleq,individual,100,batch_verify_dleq/individual/100,batch_verify_dleq/individual/100,50,14384087.406138461,14311134.709878294,14460770.594824502
aws,batch_verify_dleq,individual,25,batch_verify_dleq/individual/25,batch_verify_dleq/individual/25,50,3584790.5075130486,3570003.3454507724,3599952.7653764375
aws,batch_verify_dleq,individual,50,batch_verify_dleq/individual/50,batch_verify_dleq/individual/50,50,7187960.480119833,7152110.2392070545,7224118.888366099
aws,batch_verify_encval,batch,1,batch_verify_encval/batch/1,batch_verify_encval/batch/1,50,94219.87960673352,93844.72086167366,94601.59894944492
aws,batch_verify_encval,batch,10,batch_verify_encval/batch/10,batch_verify_encval/batch/10,50,757295.5034891261,752332.1387018051,763682.3454544382
aws,batch_verify_encval,batch,100,batch_verify_encval/batch/100,batch_verify_encval/batch/100,50,6028640.393985864,6000461.949122012,6056488.329141411
aws,batch_verify_encval,batch,25,batch_verify_encval/batch/25,batch_verify_encval/batch/25,50,1840110.8375980877,1833250.8169711533,1846556.846862725
aws,batch_verify_encval,batch,50,batch_verify_encval/batch/50,batch_verify_encval/batch/50,50,3267549.460020628,3254600.263842033,3280566.320265754
aws,batch_verify_encval,individual,1,batch_verify_encval/individual/1,batch_verify_encval/individual/1,50,178803.36517742745,177923.91818930247,179692.77533480086
aws,batch_verify_encval,individual,10,batch_verify_encval/individual/10,batch_verify_encval/individual/10,50,1772303.0214613657,1763841.2067435407,1781297.3132594759
